instrumentId,optionName,indexName,expiryInWords,optionType,optionStrikePrice,expiryInDate
828565,SENSEX 22JUL2025 CE 74400,SENSEX,22JUL2025,CE,74400,2025-07-22T00:00:00
1141098,SENSEX 29JUL2025 CE 83500,SENSEX,29JUL2025,CE,83500,2025-07-29T00:00:00
828878,SENSEX 22JUL2025 PE 73400,SENSEX,22JUL2025,PE,73400,2025-07-22T00:00:00
827089,SENSEX 15JUL2025 PE 74700,SENSEX,15JUL2025,PE,74700,2025-07-15T00:00:00
824624,SENSEX 08JUL2025 PE 81600,SENSEX,08JUL2025,PE,81600,2025-07-08T00:00:00
825176,SENSEX 08JUL2025 CE 88900,SENSEX,08JUL2025,CE,88900,2025-07-08T00:00:00
1140412,SENSEX 29JUL2025 CE 77600,SENSEX,29JUL2025,CE,77600,2025-07-29T00:00:00
828596,SENSEX 26AUG2025 CE 73600,SENSEX,26AUG2025,CE,73600,2025-08-26T00:00:00
1140058,SENSEX 29JUL2025 CE 84600,SENSEX,29JUL2025,CE,84600,2025-07-29T00:00:00
826678,SENSEX 26AUG2025 PE 85800,SENSEX,26AUG2025,PE,85800,2025-08-26T00:00:00
821796,SENSEX 01JUL2025 CE 87400,SENSEX,01JUL2025,CE,87400,2025-07-01T00:00:00
1140415,SENSEX 29JUL2025 PE 82300,SENSEX,29JUL2025,PE,82300,2025-07-29T00:00:00
828830,SENSEX 22JUL2025 PE 83900,SENSEX,22JUL2025,PE,83900,2025-07-22T00:00:00
826482,SENSEX 26AUG2025 PE 74400,SENSEX,26AUG2025,PE,74400,2025-08-26T00:00:00
1140346,SENSEX 29JUL2025 PE 75400,SENSEX,29JUL2025,PE,75400,2025-07-29T00:00:00
825367,SENSEX 08JUL2025 PE 88900,SENSEX,08JUL2025,PE,88900,2025-07-08T00:00:00
1107331,SENSEX 24JUN2025 PE 65600,SENSEX,24JUN2025,PE,65600,2025-06-24T00:00:00
821957,SENSEX 01JUL2025 CE 83600,SENSEX,01JUL2025,CE,83600,2025-07-01T00:00:00
827103,SENSEX 26AUG2025 PE 79100,SENSEX,26AUG2025,PE,79100,2025-08-26T00:00:00
821088,SENSEX 26JUN2029 PE 87000,SENSEX,26JUN2029,PE,87000,2029-06-26T00:00:00
1141111,SENSEX 29JUL2025 PE 75200,SENSEX,29JUL2025,PE,75200,2025-07-29T00:00:00
826663,SENSEX 15JUL2025 PE 87100,SENSEX,15JUL2025,PE,87100,2025-07-15T00:00:00
1107994,BANKEX 24JUN2025 CE 65400,BANKEX,24JUN2025,CE,65400,2025-06-24T00:00:00
827312,BANKEX 26AUG2025 PE 66700,BANKEX,26AUG2025,PE,66700,2025-08-26T00:00:00
828807,SENSEX 22JUL2025 PE 84300,SENSEX,22JUL2025,PE,84300,2025-07-22T00:00:00
1140312,BANKEX 29JUL2025 PE 61400,BANKEX,29JUL2025,PE,61400,2025-07-29T00:00:00
840246,SENSEX 05AUG2025 PE 78900,SENSEX,05AUG2025,PE,78900,2025-08-05T00:00:00
886368,SENSEX 24JUN2025 CE 71100,SENSEX,24JUN2025,CE,71100,2025-06-24T00:00:00
1140478,BANKEX 29JUL2025 PE 55500,BANKEX,29JUL2025,PE,55500,2025-07-29T00:00:00
824919,SENSEX 08JUL2025 CE 81600,SENSEX,08JUL2025,CE,81600,2025-07-08T00:00:00
886859,SENSEX 24JUN2025 PE 79300,SENSEX,24JUN2025,PE,79300,2025-06-24T00:00:00
826647,SENSEX 26AUG2025 CE 85500,SENSEX,26AUG2025,CE,85500,2025-08-26T00:00:00
1141821,SENSEX 30DEC2025 CE 86000,SENSEX,30DEC2025,CE,86000,2025-12-30T00:00:00
1140643,SENSEX 29JUL2025 PE 73700,SENSEX,29JUL2025,PE,73700,2025-07-29T00:00:00
826366,SENSEX 08JUL2025 PE 89500,SENSEX,08JUL2025,PE,89500,2025-07-08T00:00:00
824732,SENSEX 08JUL2025 PE 74800,SENSEX,08JUL2025,PE,74800,2025-07-08T00:00:00
828798,SENSEX 22JUL2025 PE 83700,SENSEX,22JUL2025,PE,83700,2025-07-22T00:00:00
1141428,SENSEX 29JUL2025 CE 86500,SENSEX,29JUL2025,CE,86500,2025-07-29T00:00:00
840391,SENSEX 05AUG2025 PE 84200,SENSEX,05AUG2025,PE,84200,2025-08-05T00:00:00
1127653,BANKEX 24JUN2025 PE 68300,BANKEX,24JUN2025,PE,68300,2025-06-24T00:00:00
1107288,BANKEX 24JUN2025 PE 51600,BANKEX,24JUN2025,PE,51600,2025-06-24T00:00:00
822119,SENSEX 01JUL2025 CE 79900,SENSEX,01JUL2025,CE,79900,2025-07-01T00:00:00
840281,SENSEX 05AUG2025 PE 76800,SENSEX,05AUG2025,PE,76800,2025-08-05T00:00:00
823406,SENSEX 29JUN2027 CE 88000,SENSEX,29JUN2027,CE,88000,2027-06-29T00:00:00
858178,SENSEX 28DEC2027 PE 74000,SENSEX,28DEC2027,PE,74000,2027-12-28T00:00:00
1123791,BANKEX 24JUN2025 PE 67200,BANKEX,24JUN2025,PE,67200,2025-06-24T00:00:00
822324,SENSEX 01JUL2025 PE 76100,SENSEX,01JUL2025,PE,76100,2025-07-01T00:00:00
1140880,BANKEX 29JUL2025 PE 63100,BANKEX,29JUL2025,PE,63100,2025-07-29T00:00:00
840239,SENSEX 05AUG2025 PE 81900,SENSEX,05AUG2025,PE,81900,2025-08-05T00:00:00
827144,BANKEX 26AUG2025 CE 58300,BANKEX,26AUG2025,CE,58300,2025-08-26T00:00:00
826304,SENSEX 08JUL2025 PE 89600,SENSEX,08JUL2025,PE,89600,2025-07-08T00:00:00
1140434,SENSEX 29JUL2025 CE 81600,SENSEX,29JUL2025,CE,81600,2025-07-29T00:00:00
828532,SENSEX 22JUL2025 PE 82900,SENSEX,22JUL2025,PE,82900,2025-07-22T00:00:00
1101268,BANKEX 24JUN2025 PE 61300,BANKEX,24JUN2025,PE,61300,2025-06-24T00:00:00
824810,SENSEX 08JUL2025 PE 82200,SENSEX,08JUL2025,PE,82200,2025-07-08T00:00:00
846661,SENSEX 26DEC2028 PE 84000,SENSEX,26DEC2028,PE,84000,2028-12-26T00:00:00
827206,SENSEX 26AUG2025 CE 80300,SENSEX,26AUG2025,CE,80300,2025-08-26T00:00:00
830462,BANKEX 26AUG2025 CE 70900,BANKEX,26AUG2025,CE,70900,2025-08-26T00:00:00
1141224,SENSEX 29JUL2025 CE 78400,SENSEX,29JUL2025,CE,78400,2025-07-29T00:00:00
840199,SENSEX 05AUG2025 PE 81700,SENSEX,05AUG2025,PE,81700,2025-08-05T00:00:00
1140919,SENSEX 29JUL2025 PE 79400,SENSEX,29JUL2025,PE,79400,2025-07-29T00:00:00
821861,SENSEX 01JUL2025 CE 74900,SENSEX,01JUL2025,CE,74900,2025-07-01T00:00:00
840134,SENSEX 05AUG2025 PE 87300,SENSEX,05AUG2025,PE,87300,2025-08-05T00:00:00
1137358,BANKEX 24JUN2025 CE 71200,BANKEX,24JUN2025,CE,71200,2025-06-24T00:00:00
828645,SENSEX 22JUL2025 PE 86500,SENSEX,22JUL2025,PE,86500,2025-07-22T00:00:00
1140973,SENSEX 29JUL2025 CE 77000,SENSEX,29JUL2025,CE,77000,2025-07-29T00:00:00
855184,SENSEX 25DEC2029 PE 71000,SENSEX,25DEC2029,PE,71000,2029-12-25T00:00:00
1135274,BANKEX 24JUN2025 PE 70600,BANKEX,24JUN2025,PE,70600,2025-06-24T00:00:00
824935,SENSEX 08JUL2025 PE 81900,SENSEX,08JUL2025,PE,81900,2025-07-08T00:00:00
822041,SENSEX 01JUL2025 PE 86500,SENSEX,01JUL2025,PE,86500,2025-07-01T00:00:00
840361,SENSEX 05AUG2025 PE 74900,SENSEX,05AUG2025,PE,74900,2025-08-05T00:00:00
827127,SENSEX 15JUL2025 CE 86000,SENSEX,15JUL2025,CE,86000,2025-07-15T00:00:00
828319,BANKEX 26AUG2025 PE 70800,BANKEX,26AUG2025,PE,70800,2025-08-26T00:00:00
1140190,BANKEX 29JUL2025 PE 55800,BANKEX,29JUL2025,PE,55800,2025-07-29T00:00:00
1140094,SENSEX 29JUL2025 PE 86300,SENSEX,29JUL2025,PE,86300,2025-07-29T00:00:00
